AlanGrayson	Representing Florida's 9th district in Congress
BillCassidy	Congressman serving Louisiana's 6th District, liver doctor, medical professor
auctnr1	U. S. Congressman MO7 - Branson, Joplin and Springfield, MO - House Committee on Energy and Commerce
RepGuthrie	Congressman serving Kentucky's 2nd District.
DentforCongress	Life-long resident of the Lehigh Valley. Happily married with three great kids and honored to be serving my community in Congress.
RepChrisSmith	Proud to represent the 4th Congressional District of New Jersey
DanaRohrabacher	U.S. Congressman representing CA-48.  Former speechwriter for President Reagan. Surfer and father of 8 year old triplets.
DannyKDavis	I am the 7th Congressional Districts Congressman running for Cook County Board President
DWStweets	Congresswoman Debbie Wasserman Schultz of Florida. Chair of @TheDemocrats (Democratic National Committee).
JoeGarcia	Gabriela's dad and congressman honored to represent FL's 26th district spanning from Westchester to Key West
mikecapuano	Candidate for U.S. Congress, Mass. 7th district
PeterWelch	Official Twitter Account for Congressman Peter Welch, proudly representing the great state of Vermont in the U.S. House of Representatives.
RepAndrews	Member of Congress representing NJ's 1st District, proud father, voice for America's middle class.
RushHolt	U.S. Representative from the 12th District of New Jersey
RepThomasMassie	U.S. Representative for Kentucky's 4th District
treyradel	Husband, father, entrepreneur, champion of conservative causes and Congressman from FL-19.  Married to Amy Wegmann Radel, with a baby boy!
amyklobuchar	U.S. Senator from Minnesota. Follows, Retweets, Replies ≠ endorsement
ChrisMurphyCT	U.S. Senator, Connecticut
DavidVitter	U.S. Senator for the State of Louisiana http://tinyurl.com/SB44DV info@davidvitter.com
SenatorRisch	United States Senator Jim Risch (R-ID)
jontester	Senate campaign of Jon Tester - dirt farmer & Montana Senator from Big Sandy - RTs, Replies & Follows ≠ Endorsement
SenGillibrand	U.S. Senator from New York
MaxBaucus	Doing what's right for Montana. http://action.maxformontana.com/Facebook
PastorForAZ	Putting People Before Politics
FrankDLucas	Elected to the US House of Representatives, 3rd Dist. of Oklahoma. Join Cowboys for Lucas, sign up for my mailing list, or contribute at
RepJeffMiller	
micaforcongress	
RepLanceNJ7	
KellyAyotte	
votewoodall	
alfranken	Official TeamFranken Twitter feed
